Sensor 2 position, angle , timestamp, and quality in inches, degrees and seconds, respectively

 x            y            z            a            e            r            timestamp          quality
+13.99218750 +3.46728516 -7.23779297 -173.43017578 +34.80468750 -129.83642578 +1554150043.10619998 +632
+13.98779297 +3.47167969 -7.23779297 -173.45214844 +34.82666016 -129.81445313 +1554150043.11450005 +632
+13.98779297 +3.47167969 -7.23779297 -173.45214844 +34.82666016 -129.79248047 +1554150043.11870003 +632
+13.98339844 +3.47607422 -7.23779297 -173.45214844 +34.82666016 -129.79248047 +1554150043.12280011 +632
+13.98339844 +3.47607422 -7.24218750 -173.47412109 +34.84863281 -129.81445313 +1554150043.13120008 +636
+13.98339844 +3.48046875 -7.24218750 -173.49609375 +34.84863281 -129.81445313 +1554150043.13529992 +636
+13.97900391 +3.48486328 -7.24218750 -173.51806641 +34.84863281 -129.83642578 +1554150043.14359999 +632
+13.97900391 +3.48486328 -7.24218750 -173.54003906 +34.87060547 -129.85839844 +1554150043.14779997 +632
+13.97460938 +3.48486328 -7.24218750 -173.56201172 +34.87060547 -129.88037109 +1554150043.15199995 +632
+13.97460938 +3.48925781 -7.24218750 -173.56201172 +34.87060547 -129.90234375 +1554150043.15610003 +632
+13.97021484 +3.48925781 -7.24218750 -173.60595703 +34.89257813 -129.92431641 +1554150043.16450000 +632
+13.97021484 +3.49365234 -7.24218750 -173.60595703 +34.89257813 -129.94628906 +1554150043.16860008 +632
+13.97021484 +3.49365234 -7.24218750 -173.62792969 +34.91455078 -129.96826172 +1554150043.17280006 +628
+13.96582031 +3.49804688 -7.24218750 -173.64990234 +34.91455078 -129.99023438 +1554150043.17700005 +628
+13.96582031 +3.50244141 -7.24218750 -173.69384766 +34.93652344 -130.05615234 +1554150043.18530011 +628
+13.96142578 +3.50244141 -7.24218750 -173.69384766 +34.95849609 -130.07812500 +1554150043.18950009 +628
+13.96142578 +3.50683594 -7.24218750 -173.71582031 +34.95849609 -130.10009766 +1554150043.19359994 +624
+13.95703125 +3.50683594 -7.24218750 -173.73779297 +34.98046875 -130.12207031 +1554150043.19779992 +624
+13.95703125 +3.50683594 -7.24218750 -173.75976563 +35.00244141 -130.14404297 +1554150043.20199990 +624
+13.95263672 +3.51123047 -7.24218750 -173.78173828 +35.00244141 -130.18798828 +1554150043.20609999 +624
+13.95263672 +3.51123047 -7.24218750 -173.80371094 +35.02441406 -130.20996094 +1554150043.21029997 +620
+13.95263672 +3.51123047 -7.24218750 -173.82568359 +35.04638672 -130.23193359 +1554150043.21440005 +620
+13.94824219 +3.51562500 -7.23779297 -173.89160156 +35.09033203 -130.29785156 +1554150043.22280002 +620
+13.94384766 +3.51562500 -7.23779297 -173.91357422 +35.09033203 -130.34179688 +1554150043.22690010 +616
+13.94384766 +3.51123047 -7.23779297 -173.93554688 +35.11230469 -130.36376953 +1554150043.23110008 +616
+13.93945313 +3.51123047 -7.23779297 -173.97949219 +35.13427734 -130.40771484 +1554150043.23530006 +612
+13.93945313 +3.51123047 -7.23339844 -174.02343750 +35.17822266 -130.47363281 +1554150043.24359989 +608
+13.93505859 +3.51123047 -7.23339844 -174.06738281 +35.22216797 -130.51757813 +1554150043.24780011 +608
+13.93505859 +3.51123047 -7.22900391 -174.08935547 +35.24414063 -130.56152344 +1554150043.25189996 +608
+13.93066406 +3.51123047 -7.22900391 -174.15527344 +35.28808594 -130.62744141 +1554150043.26029992 +604
+13.93066406 +3.50683594 -7.22460938 -174.17724609 +35.31005859 -130.67138672 +1554150043.26440001 +600
+13.93066406 +3.50683594 -7.22460938 -174.19921875 +35.33203125 -130.71533203 +1554150043.26859999 +600
+13.92626953 +3.50683594 -7.22460938 -174.22119141 +35.35400391 -130.73730469 +1554150043.27279997 +600
+13.92626953 +3.51123047 -7.22021484 -174.22119141 +35.37597656 -130.78125000 +1554150043.27690005 +596
+13.92187500 +3.51123047 -7.21582031 -174.26513672 +35.41992188 -130.86914063 +1554150043.28530002 +596
+13.92187500 +3.51123047 -7.21582031 -174.26513672 +35.44189453 -130.89111328 +1554150043.28940010 +596
+13.92187500 +3.51562500 -7.21582031 -174.28710938 +35.46386719 -130.93505859 +1554150043.29360008 +592
+13.91748047 +3.51562500 -7.21582031 -174.28710938 +35.48583984 -130.95703125 +1554150043.29769993 +592
+13.91748047 +3.52001953 -7.21142578 -174.28710938 +35.50781250 -131.02294922 +1554150043.30609989 +592
+13.91748047 +3.52001953 -7.21142578 -174.28710938 +35.52978516 -131.04492188 +1554150043.31019998 +592
+13.91308594 +3.52441406 -7.21142578 -174.30908203 +35.55175781 -131.06689453 +1554150043.31439996 +592
+13.91308594 +3.52441406 -7.21142578 -174.30908203 +35.57373047 -131.08886719 +1554150043.31859994 +592
+13.91308594 +3.52880859 -7.21142578 -174.30908203 +35.59570313 -131.13281250 +1554150043.32690001 +592
+13.91308594 +3.53320313 -7.21142578 -174.30908203 +35.59570313 -131.15478516 +1554150043.33109999 +592
+13.91308594 +3.53320313 -7.21142578 -174.30908203 +35.61767578 -131.15478516 +1554150043.33520007 +592
+13.90869141 +3.53759766 -7.21142578 -174.30908203 +35.63964844 -131.17675781 +1554150043.34360003 +592
+13.90869141 +3.53759766 -7.21142578 -174.30908203 +35.63964844 -131.17675781 +1554150043.34770012 +592
+13.90869141 +3.53759766 -7.21142578 -174.30908203 +35.63964844 -131.19873047 +1554150043.35190010 +592
+13.90869141 +3.54199219 -7.21142578 -174.30908203 +35.66162109 -131.19873047 +1554150043.36019993 +592
+13.90869141 +3.54199219 -7.21142578 -174.30908203 +35.68359375 -131.19873047 +1554150043.36439991 +592
+13.90869141 +3.54199219 -7.21142578 -174.30908203 +35.68359375 -131.19873047 +1554150043.36859989 +592
+13.90869141 +3.54199219 -7.20703125 -174.30908203 +35.68359375 -131.19873047 +1554150043.37689996 +592
+13.90869141 +3.54638672 -7.20703125 -174.30908203 +35.70556641 -131.19873047 +1554150043.38100004 +592
+13.90869141 +3.54638672 -7.20703125 -174.33105469 +35.70556641 -131.22070313 +1554150043.38520002 +592
+13.90869141 +3.54638672 -7.20703125 -174.33105469 +35.70556641 -131.22070313 +1554150043.38940001 +592
+13.90869141 +3.54638672 -7.20703125 -174.33105469 +35.70556641 -131.22070313 +1554150043.39350009 +592
+13.90869141 +3.54638672 -7.20703125 -174.33105469 +35.72753906 -131.22070313 +1554150043.39770007 +592
+13.90869141 +3.54638672 -7.20703125 -174.33105469 +35.72753906 -131.22070313 +1554150043.40599990 +592
+13.91308594 +3.54638672 -7.20703125 -174.33105469 +35.72753906 -131.22070313 +1554150043.41020012 +592
+13.91308594 +3.54638672 -7.20703125 -174.35302734 +35.72753906 -131.22070313 +1554150043.41440010 +592
+13.91308594 +3.54638672 -7.20703125 -174.35302734 +35.72753906 -131.19873047 +1554150043.41849995 +592
+13.91308594 +3.54199219 -7.20703125 -174.35302734 +35.72753906 -131.19873047 +1554150043.42689991 +592
+13.91308594 +3.54199219 -7.20703125 -174.37500000 +35.72753906 -131.19873047 +1554150043.43099999 +592
